Board Game,Number of Players,Rating
Tiny Towns,6949,7.43
Love Letter,6944,7.24
Space Base,5370,7.52
Point Salad,3468,7.35
Mystic Vale,2368,7.30
Kingdomino,10175,7.36
Photosynthesis,4049,7.19
Planet,2575,6.80
Blue Lagoon,1951,7.24
Kingdomino Duel,840,7.10
Gizmos,5376,7.50
Blood Rage,4690,8.01
Rising Son,3324,7.93
The Godfather,1500,7.59
Zombicide: Black Plague,1498,7.71
Carcassonne,9713,7.42
Stone Age,5011,7.59
Marco Polo,4016,7.92
Hadara,2965,7.52
Citadels,2546,7.09
Catan,6108,7.17
Lost Cities,4254,7.17
Imhotep,3005,7.22
Targi,2876,7.62
5-Minute Dungeon,1566,7.13
Patchwork,8657,7.68
Barenpark,4680,7.36
Isle of Skye,4504,7.45
Agricola,3906,7.97
Caverna,3390,8.04
Wingspan,19623,8.11
Scythe,11652,8.26
Viticulutre,6896,8.11
Tapestry,6874,7.52
Charterstone,2812,7.51
